"Date(UTC)","UnixTimeStamp","Value (Wei)"
"10/27/2020","1603756800","7119796574"
"10/28/2020","1603843200","13102895527"
"10/29/2020","1603929600","4142138070"
"10/30/2020","1604016000","3413137024"
"10/31/2020","1604102400","1893133066"
"11/1/2020","1604188800","1325476791"
"11/2/2020","1604275200","2270226041"
"11/3/2020","1604361600","2018096663"
"11/4/2020","1604448000","2383000440"
"11/5/2020","1604534400","2185229563"
"11/6/2020","1604620800","2181491295"
"11/7/2020","1604707200","1852344406"
"11/8/2020","1604793600","1713667948"
"11/9/2020","1604880000","1546863118"
"11/10/2020","1604966400","1716275746"
"11/11/2020","1605052800","2429474579"
"11/12/2020","1605139200","1461293701"
"11/13/2020","1605225600","1619576065"
"11/14/2020","1605312000","1383754393"
"11/15/2020","1605398400","1421650378"
"11/16/2020","1605484800","1576363338"
"11/17/2020","1605571200","2083393786"
"11/18/2020","1605657600","2541756671"
"11/19/2020","1605744000","2219412917"
"11/20/2020","1605830400","2697712001"
"11/21/2020","1605916800","1783121237"
"11/22/2020","1606003200","2064609949"
"11/23/2020","1606089600","2729861431"
"11/24/2020","1606176000","2637431420"
"11/25/2020","1606262400","2487948006"
"11/26/2020","1606348800","2813110081"
"11/27/2020","1606435200","2150501269"
"11/28/2020","1606521600","2125161163"
"11/29/2020","1606608000","1498368279"
"11/30/2020","1606694400","1659360506"
"12/1/2020","1606780800","1382461384"
"12/2/2020","1606867200","1103649480"
"12/3/2020","1606953600","1094381531"
"12/4/2020","1607040000","1126369706"
"12/5/2020","1607126400","1079301613"
"12/6/2020","1607212800","1101245044"
"12/7/2020","1607299200","1184325124"
"12/8/2020","1607385600","1123630987"
"12/9/2020","1607472000","1095770844"
"12/10/2020","1607558400","1082009352"
"12/11/2020","1607644800","1100982189"
"12/12/2020","1607731200","1070118480"
"12/13/2020","1607817600","1092613283"
"12/14/2020","1607904000","1103576591"
"12/15/2020","1607990400","1179619506"
"12/16/2020","1608076800","1303129367"
"12/17/2020","1608163200","1607171105"
"12/18/2020","1608249600","1411726536"
"12/19/2020","1608336000","1751442791"
"12/20/2020","1608422400","1493258144"
"12/21/2020","1608508800","1585279300"
"12/22/2020","1608595200","1410050538"
"12/23/2020","1608681600","1405787831"
"12/24/2020","1608768000","1328580236"
"12/25/2020","1608854400","1501658364"
"12/26/2020","1608940800","1451492145"
"12/27/2020","1609027200","1444528442"
"12/28/2020","1609113600","1655417453"
"12/29/2020","1609200000","1519235830"
"12/30/2020","1609286400","1638291387"
"12/31/2020","1609372800","1540644546"
"1/1/2021","1609459200","1427896977"
"1/2/2021","1609545600","1655387881"
"1/3/2021","1609632000","1847510941"
"1/4/2021","1609718400","1968963504"
"1/5/2021","1609804800","2146408101"
"1/6/2021","1609891200","1679108499"
"1/7/2021","1609977600","22062145968"
"1/8/2021","1610064000","1580067687"
"1/9/2021","1610150400","1723918686"
"1/10/2021","1610236800","1719455292"
"1/11/2021","1610323200","1959066683"
"1/12/2021","1610409600","1894991654"
"1/13/2021","1610496000","1834098636"
"1/14/2021","1610582400","1800197040"
"1/15/2021","1610668800","1804975198"
"1/16/2021","1610755200","3011050643"
"1/17/2021","1610841600","3236623085"
"1/18/2021","1610928000","1902385189"
"1/19/2021","1611014400","2303409397"
"1/20/2021","1611100800","2864039873"
"1/21/2021","1611187200","1732770153"
"1/22/2021","1611273600","2328003968"
"1/23/2021","1611360000","2746706133"
"1/24/2021","1611446400","2900850845"
"1/25/2021","1611532800","3140674280"
"1/26/2021","1611619200","1874670515"
"1/27/2021","1611705600","1850387684"
"1/28/2021","1611792000","1923227413"
"1/29/2021","1611878400","2697337501"
"1/30/2021","1611964800","2780956148"
"1/31/2021","1612051200","2722097460"
"2/1/2021","1612137600","2565412962"
"2/2/2021","1612224000","2815449842"
"2/3/2021","1612310400","3135220373"
"2/4/2021","1612396800","3174915502"
"2/5/2021","1612483200","3979501942"
"2/6/2021","1612569600","3315663809"
"2/7/2021","1612656000","2778347669"
"2/8/2021","1612742400","3742284004"
"2/9/2021","1612828800","4078300444"
"2/10/2021","1612915200","3619335191"
"2/11/2021","1613001600","2903035182"
"2/12/2021","1613088000","5394166437"
"2/13/2021","1613174400","4062539459"
"2/14/2021","1613260800","3384648199"
"2/15/2021","1613347200","23535328027"
"2/16/2021","1613433600","3624339655"
"2/17/2021","1613520000","3375129477"
"2/18/2021","1613606400","3839244335"
"2/19/2021","1613692800","4180341387"
"2/20/2021","1613779200","4252095120"
"2/21/2021","1613865600","4847135816"
"2/22/2021","1613952000","5911276636"
"2/23/2021","1614038400","5098847714"
"2/24/2021","1614124800","5391734991"
"2/25/2021","1614211200","11518840957"
"2/26/2021","1614297600","15900412566"
"2/27/2021","1614384000","17404509395"
"2/28/2021","1614470400","17737990095"
"3/1/2021","1614556800","21142542656"
"3/2/2021","1614643200","37936282792"
"3/3/2021","1614729600","34220242974"
"3/4/2021","1614816000","64073208211"
"3/5/2021","1614902400","22822486928"
"3/6/2021","1614988800","54518880767"
"3/7/2021","1615075200","52913919720"
"3/8/2021","1615161600","49368492928"
"3/9/2021","1615248000","45101287989"
"3/10/2021","1615334400","27551362463"
"3/11/2021","1615420800","38989965501"
"3/12/2021","1615507200","42306401103"
"3/13/2021","1615593600","26852818606"
"3/14/2021","1615680000","32018462627"
"3/15/2021","1615766400","35339063493"
"3/16/2021","1615852800","22061999025"
"3/17/2021","1615939200","13390406643"
"3/18/2021","1616025600","9264594297"
"3/19/2021","1616112000","10978043414"
"3/20/2021","1616198400","14320533870"
"3/21/2021","1616284800","20670053311"
"3/22/2021","1616371200","18815543781"
"3/23/2021","1616457600","16966935881"
"3/24/2021","1616544000","18978203736"
"3/25/2021","1616630400","21199851087"
"3/26/2021","1616716800","16141594862"
"3/27/2021","1616803200","15296541271"
"3/28/2021","1616889600","16927845629"
"3/29/2021","1616976000","27727802861"
"3/30/2021","1617062400","15846873014"
"3/31/2021","1617148800","18501474639"
"4/1/2021","1617235200","16203070188"
"4/2/2021","1617321600","13540423344"
"4/3/2021","1617408000","10670955339"
"4/4/2021","1617494400","14375089807"
"4/5/2021","1617580800","11665737051"
"4/6/2021","1617667200","15235295651"
"4/7/2021","1617753600","18830785609"
"4/8/2021","1617840000","20509701254"
"4/9/2021","1617926400","16906640673"
"4/10/2021","1618012800","12020495783"
"4/11/2021","1618099200","11189450131"
"4/12/2021","1618185600","13379668326"
"4/13/2021","1618272000","12599778801"
"4/14/2021","1618358400","14945949966"
"4/15/2021","1618444800","16136663430"
"4/16/2021","1618531200","10864352298"
"4/17/2021","1618617600","11321215686"
"4/18/2021","1618704000","19880935339"
"4/19/2021","1618790400","25307644504"
"4/20/2021","1618876800","25724751654"
"4/21/2021","1618963200","18940630899"
"4/22/2021","1619049600","23956093280"
"4/23/2021","1619136000","25356657652"
"4/24/2021","1619222400","17316229937"
"4/25/2021","1619308800","19069581052"
"4/26/2021","1619395200","24807826910"
"4/27/2021","1619481600","38727037785"
"4/28/2021","1619568000","27991502886"
"4/29/2021","1619654400","24051484488"
"4/30/2021","1619740800","18290468941"
"5/1/2021","1619827200","18897330669"
"5/2/2021","1619913600","13942415374"
"5/3/2021","1620000000","15114288152"
"5/4/2021","1620086400","11088178624"
"5/5/2021","1620172800","8861020331"
"5/6/2021","1620259200","7400128233"
"5/7/2021","1620345600","7905416927"
"5/8/2021","1620432000","3335255728"
"5/9/2021","1620518400","4837205046"
